Date,Country,Latitude,Longitude,Type of Incident,Description,Media Report Link
Jun-14,Italy,40.548816,17.0805801,Fall,A 16-year-old girl died in Taranto after plunging 60 feet onto rocks while she was trying to take a selfie on the seafront.,https://www.mirror.co.uk/news/world-news/teenager-plunges-60ft-death-onto-3681522
Jul-14,Philippines,14.5948914,120.9782618,Fall,"A 14-year-old high school student in the Philippines fell to her death after losing her balance while taking a selfie with a friend near a staircase landing of their school in suburban Pasig. According to doctors, she sustained a sharp blow to the head from the fall and broke a rib, which pierced a kidney.",https://web.archive.org/web/20141129014700/http://gulfnews.com/news/world/philippines/student-falls-to-death-while-taking-selfie-1.1355674
Aug-14,Portugal,38.780905,-9.4994163,Fall,A Polish couple fell to their death off a cliff in Portugal after crossing a safety barrier to take a selfie with their children. Their two children who were present at the scene survived.,https://web.archive.org/web/20180925020159/https://www.telegraph.co.uk/news/worldnews/europe/poland/11024800/Polish-couple-killed-in-cliff-fall-after-posing-for-selfies.html
Oct-14,Philippines,18.5217754,120.7442893,Drowned,An 18-year-old woman in the Philippines was posing for a group selfie on a beach with friends. She was captured by a strong wave and drowned. overtaken by a strong wave that struck the group as they posed in front of the famous Bangui windmills on a beach in Barangay Masikil,https://web.archive.org/web/20180925020147/https://observer.com/2014/10/18-year-old-dies-attempting-beach-birthday-selfie/
Nov-14,Spain,37.38283,-5.97317,Fall,"A 23-year-old student from Poland fell to her death while trying to take a selfie on the ledge of the Triana Bridge in Seville, Spain.",https://web.archive.org/web/20190710124142/https://metro.co.uk/2014/11/05/tourist-dies-after-falling-from-bridge-taking-selfie-4936592/
Jan-15,South Africa,-26.1274536,27.9673161,Fall,"A 21-year-old woman died after falling from Northcliff Hill, Johannesburg, as a male companion was setting up a tripod for a selfie. Reports vary as to the identity of the companion.",https://web.archive.org/web/20180925020219/https://www.news24.com/SouthAfrica/News/Joburg-woman-in-deadly-fall-was-on-first-date-20150119
Mar-15,India,21.1498134,79.0820556,Drowned,"Seven people drowned while taking selfies on Mangrul Lake near Kuhi, about 20km from Nagpur, India. Their boat had tipped over as they were standing up to pose. Possibly couldn't swim.",https://web.archive.org/web/20151004181414/http://www.abplive.in/india/2015/03/23/article535380.ece/Nagpur-Seven-youths-drown-in-lake-while-taking-a-selfie
May-15,Indonesia,-8.06265,114.2619352,Fall,A 21-year-old man from Yogyakarta fell into the crater of the volcano Mount Merapi while attempting to take a selfie and died.,https://web.archive.org/web/20190416225941/https://www.thejakartapost.com/news/2015/06/18/mt-merapi-prepare-selfie-spot-visitors.html
May-15,Indonesia,-8.678942,115.4573313,Fall,"A Singaporean tourist died after falling into the sea while taking a selfie on a cliff in Nusa Lembongan, an island off the coast of Bali.",https://web.archive.org/web/20190824100410/https://www.thejakartapost.com/news/2015/05/22/singaporean-dies-when-taking-selfie-bali.html
Jun-15,Croatia,44.88124,15.6199,Fall,A 54-year-old Slovak tourist visiting Plitvice Lakes National Park in Croatia fell to her death from a rock while taking a selfie.,https://web.archive.org/web/20170729050641/http://dailytimes.com.pk/life-and-style/09-Jul-16/be-careful-a-risky-selfie-can-lead-you-to-death
Aug-15,China,29.0000001,119.9999999,Fall,"A man was discovered with his phone and selfie stick at the bottom of a 100-foot cliff at Long Men waterfall in Zhejiang. Based on photographic evidence on his phone, local police speculated that he lost his footing while taking a selfie and fell to his death. It was not known when he died or how long his body had been there.",https://www.scmp.com/news/china/society/article/1854715/chinese-man-dies-30m-cliff-fall-after-taking-selfies-beside
7-Jan-16,Brazil,22.25,-42.5,Fall,"A 27-year-old man fell into the sea and died after an attempt to take a selfie on the rocks of CantÃ£o do IndaiÃ¡ in Bertioga, on the coast of SÃ£o Paulo.",https://web.archive.org/web/20180622032806/http://g1.globo.com/sp/santos-regiao/noticia/2016/01/corpo-de-turista-que-caiu-no-mar-enquanto-tirava-selfie-e-encontrado.html
9-Jan-16,India,19.0549792,72.8402203,Drowned,"A 20-year-old college student drowned at Bandstand Promenade in Bandra, Mumbai. She is believed to have been swept away in the high tide. According to the woman's friends, they were taking selfies while standing on the rock, close to the Bandraâ€“Worli Sea Link (BWSL). ""The girls were standing 50 metres away from the shore when the water suddenly rose. They did not notice the water rising, and remained on the rock taking pictures (selfies). One of the girls was pulled into the water due to high tide."" A man also drowned after going into the water to rescue the girl.",https://web.archive.org/web/20181225181140/https://timesofindia.indiatimes.com/city/mumbai/College-girl-drowns-in-Bandra-while-taking-selfies/articleshow/50508525.cms
9-Jan-16,India,26.2644203,71.6027498,Fall,"A 20-year-old fell to his death while taking a selfie from the top of the Reasi Fort at Jammu and Kashmir, India.",https://web.archive.org/web/20181225181143/https://indianexpress.com/article/india/india-news-india/jammu-and-kashmir-youth-falls-to-death-while-taking-selfie-from-reasi-fort/
12-Feb-16,India,12.9767936,77.590082,Drowned,"Three students of Mandya Institute of Medical Sciences drowned after falling in an irrigation canal in Hulivana village, 180Â km from Bengaluru, India, reportedly while they were taking selfies.",https://web.archive.org/web/20181225181202/https://indianexpress.com/article/india/india-news-india/karnataka-3-medical-students-drown-while-taking-selfies/#sthash.ZZh4LZKF.dpuf
13-Feb-16,India,20.0112475,73.7902364,Drowned,"An 18-year-old college student drowned after falling off of the Waldevi Dam in Nashik, India, while taking a selfie. His 18-year-old friend jumped into the water in an attempt to save him, but also drowned.",https://web.archive.org/web/20181225181204/https://www.hindustantimes.com/india/nashik-teen-drowns-in-dam-while-taking-selfie-friend-dies-saving/story-7EcFAg9nGRkgff6DvoV1VM.html
22-Feb-16,India,51.5323423,9.937216,Fall,"Five people in Anjuna, Goa, fell off a cliff and were injured after a gate they were leaning on collapsed during a group selfie.",https://web.archive.org/web/20160608152809/http://www.hindustantimes.com/india/five-tourists-fall-off-cliff-while-clicking-selfie-in-goa-2-severely-injured/story-YWOtIL9vfmMMewB4ZO6CMN.html
29-Feb-16,Nepal,27.6995688,84.4222747,Drowned,"A Nepalese woman drowned in the Narayani River. She dived into the river to save her friend who slipped into the water while the two were taking selfies together near the bank. The woman who originally fell was rescued, but her friend who tried to save her drowned.",https://web.archive.org/web/20161006042647/http://thehimalayantimes.com/nepal/girl-falls-in-narayani-while-clicking-selfie/
12-Mar-16,"Hong Kong, China",22.3528832,114.1868763,Fall,A 30-year-old man fell off Lion Rock in Hong Kong while taking a selfie and died.,https://web.archive.org/web/20160315002209/http://www.ejinsight.com/20160314-man-falls-to-death-trying-to-take-selfie-of-a-lifetime/
5-Apr-16,India,17.360589,78.4740613,Fall,"A 16-year-old climbed a rock fountain at a zoo in Hyderabad, India, apparently to take a selfie. He slipped and fell into the water, and may have hit his head on a rock. He was taken to hospital where he was pronounced dead.",https://web.archive.org/web/20160415130715/http://www.newindianexpress.com/cities/hyderabad/Another-Selfie-Death-This-Time-at-Hyderabad-Zoological-Park/2016/04/06/article3365677.ece
16-Apr-16,Brazil,-18.5264844,-44.1588654,Fall,A 27-year-old woman fell from a height of 35m at a waterfall in the Ibitipoca State Park in Minas Gerais. She was rescued by the fire department and survived.,https://web.archive.org/web/20180622033004/https://noticias.r7.com/minas-gerais/selfie-perigosa-turista-despenca-35-metros-ao-tirar-foto-em-cachoeira-22042016
21-Apr-16,Brazil,-21.76404381,-41.32489014,Fall,"In Campos dos Goytacazes in Rio de Janeiro, a 32-year-old woman died after she fell in a waterfall while attempting a selfie.",https://web.archive.org/web/20180622033157/http://g1.globo.com/rj/norte-fluminense/noticia/2016/04/mulher-morre-apos-cair-de-pedra-em-cachoeira-em-campos-no-rj.html
26-Apr-16,India,10.9094334,78.3665347,Fall,"While taking a selfie, a 25-year-old fell off the Dolphin Nose cliff near Vattakanal village, situated 8Â km from the Kodaikanal Lake, Tamil Nadu, India.",https://web.archive.org/web/20160609025545/http://timesofindia.indiatimes.com/india/Youth-falls-off-Kodaikanal-cliff-while-taking-selfie/articleshow/51997732.cms
3-Jun-16,India,23.3889007,88.372439,Drowned,An 18-year-old boy drowned in the Ganges river while taking a selfie after bathing with his mother and a friend in Nabadwip of West Bengal state in India.,https://web.archive.org/web/20160606212236/http://www.anandabazar.com/district/nodia-murshidabbad/selfie-addiction-sometime-too-dangerous-to-life-1.404732
12-Jun-16,India,22.2973142,73.1942567,Drowned,"A 23-year-old fell into the water and drowned at Sindhrot Check Dam near Vadodara, India, while taking a selfie. His friend jumped into the water to save him, but he also drowned.",https://web.archive.org/web/20160614130138/http://timesofindia.indiatimes.com/city/vadodara/Selfie-on-check-dam-drowns-duo/articleshow/52740099.cms
18-Jun-16,United States,44.00034,-74.49989,Fall,"A 37-year-old EMS lieutenant of the New York City Fire Department, was mountain climbing near Lake George in the Adirondack Mountains. She was on a ledge at the top of Roaring Brook Falls preparing to take a selfie when she disappeared from sight. Rescue services found her body in the water at the base of the falls.",https://web.archive.org/web/20160819013418/http://www.nydailynews.com/new-york/nyc-ems-lieutenant-killed-upstate-hiking-accident-article-1.2679790
22-Jun-16,India,26.513188,80.2364843,Drowned,"Seven people aged 16 to 31 were swept away and drowned while taking a selfie in the river Ganges in Kanpur, Uttar Pradesh, India. According to a police official, they had gone for a picnic at Kanpur Ganges Barrage when one of the party tried to take a selfie by standing on the edge of the barrage and tripped and fell into the Ganges. The river was already in spate due to rains in the region. The six others, in an attempt to save him, jumped into the river but were themselves swept away by the current.",https://web.archive.org/web/20160626121905/http://www.ndtv.com/kanpur-news/selfie-in-river-ganga-causes-death-of-7-students-1422222
29-Jun-16,Peru,-13.164422,-72.5450851,Fall,"A 51-year-old German tourist visiting Machu Picchu in Peru, fell 130 feet (40Â m) to his death after he lost his footing while leaping into the air for a ""flying selfie"".",https://web.archive.org/web/20160701021352/http://www.bbc.co.uk/news/world-latin-america-36680663
29-Jun-16,Peru,-6.0231208,-77.8869851,Fall,"A 28-year-old South Korean tourist plunged 1,600 feet (490Â m) off a cliff at Gocta waterfall in the Amazonas Region of Peru. He was attempting to take a picture of himself. Divers and mountain rescue teams were brought in to recover the body submerged more than 20 feet underwater at the base of the falls.",https://web.archive.org/web/20160706151427/http://www.independent.co.uk/news/world/americas/two-tourists-die-peru-separate-selfie-accidents-a7120951.html
1-Jul-16,Croatia,44.88124,15.6199,Fall,"A 20-year-old Canadian tourist plunged off a viewpoint 75 meters (246Â ft) high in the Plitvice Lakes National Park, Croatia, while trying to take a selfie. His fall was broken by tree branches and he survived with injuries. It was the park's second selfie accident in a year.",https://web.archive.org/web/20170729050641/http://dailytimes.com.pk/life-and-style/09-Jul-16/be-careful-a-risky-selfie-can-lead-you-to-death
2-Jul-16,India,30.3255646,78.0436813,Fall,"A 32-year-old resident of Mali Mohalla, near Saharanpur Chowk, Dehradun (India), died after he fell in a 150-feet deep gorge while taking a selfie near Chunakhaal on Dehradun-Mussoorie road in Uttarakhand, India. This was the second incident of its kind on the road. The previous year, a youth died when he stepped backwards and fell into a deep gorge while his friend was taking a picture.",https://web.archive.org/web/20160703112914/http://www.tribuneindia.com/news/uttarakhand/selfie-costs-man-his-life/260252.html
6-Jul-16,India,24.53399,81.29596,Drowned,"Four students were taking selfies near Purva waterfall on Tamsa River in Rewa district of Madhya Pradesh, India. They were unaware of an oncoming flash flood, and all four were swept away and drowned.",https://web.archive.org/web/20160711110954/http://timesofindia.indiatimes.com/city/bhopal/Four-selfie-taking-youths-killed-in-Madhya-Pradesh-flash-floods/articleshow/53083662.cms
12-Jul-16,India,18.0654743,74.0410999,Fall,"A 36-year-old and a friend climbed to a mountain peak at Khandala, India, against warnings. There they took selfies with a waterfall in the background, but the 36-year-old slipped and fell into a 200-foot-deep quarry and died.",https://web.archive.org/web/20160807051629/http://www.mid-day.com/articles/clicking-selfie-claims-another-life-mumbai-boy-falls-in-quarry-at-khandala/17429196
13-Jul-16,India,25.3171947,81.9193735,Drowned,"Two students drowned while taking selfies at Kosi Dam near Rampur, Uttar Pradesh, India. A group of students were taking selfies and became trapped in a vortex; the rest were saved.",https://web.archive.org/web/20160822212811/http://www.samacharplus.com/~samachar/index.php/en/cities/31-up-uttarakhand/11117-two-selfie-lovers-died-while-clicking-selfie-in-lalpur-kosi-dam-at-rampur
17-Jul-16,India,8.079252,77.5499338,Drowned,"A married couple ages 40 and 42, from Tirupur district of Tamil Nadu, were swept away by a ""giant wave"" in Kanyakumari, India, while they were taking a selfie.",https://web.archive.org/web/20160718123340/http://timesofindia.indiatimes.com/india/Couple-taking-selfie-swept-away-by-giant-wave-in-Kanyakumari/articleshow/53264956.cms
